epoch,train_loss,val_loss,train_acc,val_acc
1,4.595451297182025,4.538660486539205,1.1643134360341914,2.077777777777778
2,4.431900400103944,4.265747507413228,3.3929379270935023,6.522222222222222
3,4.252158912022908,4.386627819803026,6.604919164742018,6.944444444444445
4,4.102732408407963,4.193063669734531,9.281173361270506,9.21111111111111
5,3.988378159205119,3.7601031263669333,11.65742041477178,16.42222222222222
6,3.812701416015625,3.7104652722676597,15.457510893116503,16.711111111111112
7,3.678174617073753,3.620058000087738,18.371865996809447,19.544444444444444
8,3.568616598302668,3.4238472249772816,20.629062596728495,23.955555555555556
9,3.467202513145678,3.2302024496926203,23.04816781351937,28.38888888888889
10,3.3653046463475085,3.1387976341777377,25.655372746970166,30.044444444444444
11,3.2789161494283965,3.276681833797031,27.80780494773685,26.58888888888889
12,3.216096209034775,3.158571786350674,29.010214528917356,31.255555555555556
13,3.146161027388139,3.051292962498135,30.853115550370248,32.577777777777776
14,3.0812068216728443,3.188529815938738,32.58410914545584,32.266666666666666
15,3.0163514469609116,2.978013296922048,34.477011357413275,35.94444444444444
16,2.9783152103424073,2.7842076222101846,35.55084644872497,40.2
17,2.9235310496705953,2.8082864019605847,36.91754565584895,39.4
18,2.8655636946360272,2.751466327243381,38.46282054334627,40.51111111111111
19,2.8188103444648513,2.693686213758257,39.836662777685184,42.96666666666667
20,2.786870598070549,2.700028187698788,40.584299626181576,42.5
21,2.7527834805575284,2.6488810115390353,41.39622371961237,44.666666666666664
22,2.7178531762325404,2.5590841703944736,42.322436248482106,46.18888888888889
23,2.669601502563014,2.60741216606564,43.7058025191076,45.67777777777778
24,2.6747288660569626,2.6935228771633573,43.90818829019739,44.166666666666664
25,2.6306570891178014,2.4639069702890186,45.16298007095407,50.41111111111111
26,2.3799184683597447,2.2972007393836975,52.272673158884736,54.888888888888886
27,2.321734298359264,2.2775907980071173,53.95604657253744,54.544444444444444
28,2.2839989763317687,2.254289037651486,55.33941284316293,56.08888888888889
29,2.2749877857439444,2.271850460105472,55.21321936236577,55.32222222222222
30,2.251117060401223,2.248650908470154,56.268006381104314,55.93333333333333
31,2.228972406098337,2.2657362951172724,56.698969023071975,55.77777777777778
32,2.225271222808144,2.2304311792055764,57.27517321840996,56.22222222222222
33,2.1991257320750845,2.212964206933975,57.668039715231316,56.8
34,2.188127139120391,2.195564024978214,58.184718683778186,57.2
35,2.181034796888178,2.20630192094379,58.239481892426014,57.4
36,2.1623023134289365,2.2006357113520303,59.034738922355295,57.233333333333334
37,2.1391323884328206,2.1931099792321525,59.76570870735018,57.51111111111111
38,2.126932874592868,2.1893252399232654,59.9966665872997,57.7
39,2.1146944212191032,2.171830462084876,60.532393628419726,57.67777777777778
40,2.105730345032432,2.191309584511651,60.596680873354124,57.766666666666666
41,2.0874751018755364,2.192576011021932,61.26098240434296,57.87777777777778
42,2.08169232859756,2.1721973419189453,61.17050405962047,58.455555555555556
43,2.0711502754327022,2.190111219882965,62.08004952498869,57.56666666666667
44,2.0562818108182963,2.1864729523658752,62.16100383342461,58.05555555555556
45,2.0353294350884177,2.1746858523951635,62.86340150955975,58.544444444444444
46,2.0300949920307505,2.162069903479682,63.28722112431248,58.78888888888889
47,2.0146734815655334,2.1521299878756204,63.32531726945879,59.0
48,2.0101764317714808,2.1551976402600608,63.81818614728922,59.1
49,1.9891320445320824,2.1606604390674167,64.14200338103288,58.955555555555556
50,1.9813486713351625,2.1485709647337594,64.33962713397938,59.422222222222224
51,1.9245752869230328,2.114798367023468,66.67777804233434,60.166666666666664
52,1.9035655079465923,2.1119031740559473,67.20874306531108,60.46666666666667
53,1.8856167706576261,2.1138966182867684,67.77304221529084,60.37777777777778
54,1.8911744616248392,2.1059024069044323,67.58018048048763,60.46666666666667
55,1.882332496209578,2.1045704782009125,67.90875973237458,60.72222222222222
56,1.8819377769123424,2.102214660909441,68.07781137646134,60.922222222222224
57,1.86912240115079,2.106359130806393,68.63972951736946,60.51111111111111
58,1.8582910378774007,2.1064864496390023,68.66353960808591,60.666666666666664
59,1.8597410281499227,2.104240642653571,68.78735207981143,60.72222222222222
60,1.8535174153067848,2.104111933045917,69.04450105954903,60.84444444444444
61,1.851562754313151,2.104322373867035,69.00640491440272,60.666666666666664
62,1.8546653559713653,2.0980730454126992,69.18498059477606,60.91111111111111
63,1.846057773358894,2.1002691321902804,69.2778399485702,60.78888888888889
64,1.8461204088095462,2.096902589003245,69.14450344055811,60.955555555555556
65,1.8360388531829372,2.10450256201956,69.71832662682445,60.72222222222222
66,1.834910891272805,2.097315639257431,69.6992785542513,60.7
67,1.8369193929614442,2.1009265383084617,69.33736517536131,60.84444444444444
68,1.8319039604880594,2.0939481721984015,69.90404533441273,61.355555555555554
69,1.8160681746222755,2.097470280196932,70.20167146836829,60.955555555555556
70,1.8268566781824285,2.0991297695371838,70.06119193314126,60.922222222222224
71,1.8284695719227646,2.0909575124581656,69.8707112074097,61.24444444444445
72,1.8205028541160353,2.096987376610438,70.17786137765185,61.15555555555556
73,1.8050908428249937,2.0936144126786127,70.74930355484655,61.12222222222222
74,1.8188615134268096,2.096272279818853,70.3088168765923,61.51111111111111
75,1.8102987665118593,2.098029245932897,70.34453201266697,60.98888888888889
76,1.7870161844022345,2.0904753274387784,71.08264482487678,61.2
77,1.7794269597891605,2.0885099437501697,71.61360984785352,61.355555555555554
78,1.7860046885230325,2.0904032588005066,71.32550775018453,61.21111111111111
79,1.8033635919744317,2.086768431795968,70.96835638943784,61.3
80,1.7862680232886112,2.0889289577802024,71.39217600419057,61.388888888888886
81,1.7868961334228515,2.086346411042743,71.24693445082026,61.455555555555556
82,1.7796727108232904,2.086324373881022,71.37074692254578,61.51111111111111
83,1.776888741868915,2.0886515743202634,71.73742231957904,61.3
84,1.7788265069325766,2.0892116493648953,71.52551251220267,61.43333333333333
85,1.7851867589083585,2.0878631042109594,71.32312674111289,61.544444444444444
86,1.7726292631842873,2.0887006753020816,71.36598490440248,61.31111111111111
87,1.7801842790661435,2.088328719139099,71.67313507464463,61.51111111111111
88,1.7782948884097012,2.0903454422950745,71.64218195671326,61.44444444444444
89,1.772116399533821,2.089135709736082,71.61360984785352,61.611111111111114
90,1.7857982303156996,2.0888925327195063,71.4683682944832,61.333333333333336
91,1.7859276655948524,2.088786628511217,71.41360508583537,61.3
92,1.7675664352648186,2.0896327992280326,71.72313626514917,61.27777777777778
93,1.7783047090877186,2.088196446498235,71.6398009476416,61.37777777777778
94,1.7726942300796509,2.0876948171191745,71.6659920474297,61.477777777777774
95,1.7787890549862024,2.0876445869604745,71.63741993856996,61.422222222222224
96,1.780813300970829,2.0899684164259167,71.70408819257601,61.144444444444446
97,1.7676376010432389,2.0868580076429577,71.8636158003762,61.32222222222222
