,layer,area,specimen_id,score
0,pool1,VISal,735109609,0.33919283722352866
1,pool1,VISal,738651054,0.29216165280259776
2,pool1,VISal,739783171,0.3186034170591089
3,pool1,VISal,742714475,0.29747593743707074
4,pool1,VISal,757329624,0.3422285395281215
5,pool1,VISal,775876828,0.20603231887246443
6,pool1,VISam,730756780,0.3675943995601136
7,pool1,VISam,734865738,0.2888319701057939
8,pool1,VISam,738651054,0.28587592121962624
9,pool1,VISam,739783171,0.32159612083837485
10,pool1,VISam,742602892,0.3556758210732557
11,pool1,VISam,744915204,0.19947067445221012
12,pool1,VISam,775876828,0.23278171970861866
13,pool1,VISl,716813543,0.25169457038168497
14,pool1,VISl,723627604,0.19865807407138764
15,pool1,VISl,739783171,0.27550879559782193
16,pool1,VISl,745276236,0.43244357027529334
17,pool1,VISl,772616823,0.19291787891763146
18,pool1,VISl,775876828,0.22121078674946015
19,pool1,VISp,717038288,0.21795602845793138
20,pool1,VISp,719828690,0.24598300785358954
21,pool1,VISp,730756780,0.27615746254492646
22,pool1,VISp,738651054,0.2016137767237037
23,pool1,VISp,739783171,0.2897307688164137
24,pool1,VISp,742602892,0.30246999598125707
25,pool1,VISp,744915204,0.2572152178846125
26,pool1,VISp,772616823,0.22961071852435536
27,pool1,VISpm,726170935,0.29114613368466646
28,pool1,VISpm,734865738,0.3493581350050415
29,pool1,VISpm,738651054,0.28345721404955937
30,pool1,VISpm,739783171,0.32549052741010476
31,pool1,VISpm,742714475,0.34284723198684725
32,pool1,VISrl,716813543,0.35157609882255264
33,pool1,VISrl,723627604,0.3588235312122755
34,pool1,VISrl,732548380,0.25769672661020226
35,pool1,VISrl,738651054,0.5178328405471423
36,pool1,VISrl,742602892,0.4874256138616748
37,pool1,VISrl,742714475,0.43651268631628265
38,pool1,VISrl,744915204,0.17280454767837206
39,pool2,VISal,735109609,0.34707540407218357
40,pool2,VISal,738651054,0.3310171814304487
41,pool2,VISal,739783171,0.3581386888752787
42,pool2,VISal,742714475,0.34410477065997763
43,pool2,VISal,757329624,0.35443530329632167
44,pool2,VISal,775876828,0.2572147804044927
45,pool2,VISam,730756780,0.4064045810118889
46,pool2,VISam,734865738,0.31783246712182056
47,pool2,VISam,738651054,0.31383770875692557
48,pool2,VISam,739783171,0.3303080787700724
49,pool2,VISam,742602892,0.38755024121537074
50,pool2,VISam,744915204,0.24226554508821238
51,pool2,VISam,775876828,0.2547004234825281
52,pool2,VISl,716813543,0.2722911288630376
53,pool2,VISl,723627604,0.2232660134720673
54,pool2,VISl,739783171,0.3062508156593412
55,pool2,VISl,745276236,0.4384819343108095
56,pool2,VISl,772616823,0.2409121912324752
57,pool2,VISl,775876828,0.29533548167144397
58,pool2,VISp,717038288,0.28747169948002016
59,pool2,VISp,719828690,0.3077354403226001
60,pool2,VISp,730756780,0.297579595086981
61,pool2,VISp,738651054,0.2535014521670519
62,pool2,VISp,739783171,0.3663804911340073
63,pool2,VISp,742602892,0.36461475263285925
64,pool2,VISp,744915204,0.31177314811365375
65,pool2,VISp,772616823,0.3191134295232142
66,pool2,VISpm,726170935,0.3341997938463386
67,pool2,VISpm,734865738,0.3737308654512924
68,pool2,VISpm,738651054,0.3462869192877835
69,pool2,VISpm,739783171,0.35555041489040895
70,pool2,VISpm,742714475,0.35666618363893887
71,pool2,VISrl,716813543,0.373520538383707
72,pool2,VISrl,723627604,0.38217639890846994
73,pool2,VISrl,732548380,0.3121393564328768
74,pool2,VISrl,738651054,0.4736144208719836
75,pool2,VISrl,742602892,0.5066529712067911
76,pool2,VISrl,742714475,0.4442337869457559
77,pool2,VISrl,744915204,0.16530894354181846
78,relu3,VISal,735109609,0.3496126123804835
79,relu3,VISal,738651054,0.3511160517105011
80,relu3,VISal,739783171,0.3660333381283454
81,relu3,VISal,742714475,0.34424783361180644
82,relu3,VISal,757329624,0.3580559187375806
83,relu3,VISal,775876828,0.2657699310349958
84,relu3,VISam,730756780,0.408220613904021
85,relu3,VISam,734865738,0.32318349172107486
86,relu3,VISam,738651054,0.3120144164206213
87,relu3,VISam,739783171,0.3444580435208422
88,relu3,VISam,742602892,0.395793741415148
89,relu3,VISam,744915204,0.24856185002772935
90,relu3,VISam,775876828,0.264967213178845
91,relu3,VISl,716813543,0.2729787216969476
92,relu3,VISl,723627604,0.23193215327764835
93,relu3,VISl,739783171,0.3010874081726209
94,relu3,VISl,745276236,0.4328801583212881
95,relu3,VISl,772616823,0.23112266779273521
96,relu3,VISl,775876828,0.3016664888399868
97,relu3,VISp,717038288,0.2954954908457011
98,relu3,VISp,719828690,0.3102289948078495
99,relu3,VISp,730756780,0.30608402065136564
100,relu3,VISp,738651054,0.261987067989746
101,relu3,VISp,739783171,0.36992002564839654
102,relu3,VISp,742602892,0.37297062872232917
103,relu3,VISp,744915204,0.31306726466330326
104,relu3,VISp,772616823,0.3354581328715563
105,relu3,VISpm,726170935,0.3305004007794192
106,relu3,VISpm,734865738,0.37609304590952075
107,relu3,VISpm,738651054,0.3395156128593947
108,relu3,VISpm,739783171,0.35178937302078706
109,relu3,VISpm,742714475,0.36193598919683245
110,relu3,VISrl,716813543,0.3544808785530725
111,relu3,VISrl,723627604,0.3816945536894535
112,relu3,VISrl,732548380,0.31821383407593257
113,relu3,VISrl,738651054,0.46689687987363204
114,relu3,VISrl,742602892,0.507090570577956
115,relu3,VISrl,742714475,0.4411768700970339
116,relu3,VISrl,744915204,0.1633978657078833
117,relu4,VISal,735109609,0.3841948860916975
118,relu4,VISal,738651054,0.3535241080348248
119,relu4,VISal,739783171,0.3601621282876163
120,relu4,VISal,742714475,0.34196664384543163
121,relu4,VISal,757329624,0.3553032462699601
122,relu4,VISal,775876828,0.26738829023139987
123,relu4,VISam,730756780,0.40996015029933364
124,relu4,VISam,734865738,0.32975392725708064
125,relu4,VISam,738651054,0.31089970083668167
126,relu4,VISam,739783171,0.35819013327775956
127,relu4,VISam,742602892,0.4021562711692733
128,relu4,VISam,744915204,0.23865657079349895
129,relu4,VISam,775876828,0.2697194543749072
130,relu4,VISl,716813543,0.2829769202876088
131,relu4,VISl,723627604,0.2223242796874258
132,relu4,VISl,739783171,0.2972654009591511
133,relu4,VISl,745276236,0.45397270650367805
134,relu4,VISl,772616823,0.2355279646821853
135,relu4,VISl,775876828,0.30019740789144667
136,relu4,VISp,717038288,0.2961943031376739
137,relu4,VISp,719828690,0.30253174969941315
138,relu4,VISp,730756780,0.3072302418516635
139,relu4,VISp,738651054,0.269403600142366
140,relu4,VISp,739783171,0.36603574451289606
141,relu4,VISp,742602892,0.39355746541273656
142,relu4,VISp,744915204,0.3127443258842233
143,relu4,VISp,772616823,0.34163223851967517
144,relu4,VISpm,726170935,0.337405760931196
145,relu4,VISpm,734865738,0.3838058165448859
146,relu4,VISpm,738651054,0.35571128204173635
147,relu4,VISpm,739783171,0.3427413032936978
148,relu4,VISpm,742714475,0.35455895186649117
149,relu4,VISrl,716813543,0.3465485864314367
150,relu4,VISrl,723627604,0.3790368240518698
151,relu4,VISrl,732548380,0.32991895524723336
152,relu4,VISrl,738651054,0.4847271088270114
153,relu4,VISrl,742602892,0.5135274978617991
154,relu4,VISrl,742714475,0.44680743460918
155,relu4,VISrl,744915204,0.17038738365636374
156,pool5,VISal,735109609,0.4106582083913729
157,pool5,VISal,738651054,0.3312589061823781
158,pool5,VISal,739783171,0.4028441877947831
