,area,layer,score,sem
0,VISal,fc6_relu,0.3685266903602713,0.015267651329514331
1,VISal,fc7_relu,0.35523064343303995,0.015818820167340538
2,VISal,pool1,0.325836405378755,0.01860767373078561
3,VISal,pool2,0.35050869045681543,0.018291668852947973
4,VISal,pool5,0.3712058792431477,0.015032547921731983
5,VISal,relu3,0.3498969107234585,0.018779503343525406
6,VISal,relu4,0.3573124420590411,0.018587257093459264
7,VISam,fc6_relu,0.3600381810342677,0.02901433284298205
8,VISam,fc7_relu,0.3667135534453436,0.025787555606786947
9,VISam,pool1,0.3032661357932544,0.024040775744016685
10,VISam,pool2,0.34098719576607656,0.026899593755082902
11,VISam,pool5,0.37374347149814097,0.024111719651713895
12,VISam,relu3,0.35421065411780095,0.027319574768796335
13,VISam,relu4,0.34198515241013094,0.02695415615332375
14,VISl,fc6_relu,0.3045136931529559,0.02450251664242557
15,VISl,fc7_relu,0.29241435292362694,0.022361411695657488
16,VISl,pool1,0.23481409465084974,0.03620723951516925
17,VISl,pool2,0.27940377439149233,0.028941754524682905
18,VISl,pool5,0.3137369432059396,0.025631868226894665
19,VISl,relu3,0.288933741505113,0.0299876844995451
20,VISl,relu4,0.28096480144926683,0.03183864667678215
21,VISp,fc6_relu,0.3169119888090519,0.016584290739235216
22,VISp,fc7_relu,0.31409685091008055,0.01638165647901804
23,VISp,pool1,0.24509278230744835,0.01176912369763721
24,VISp,pool2,0.3091814006574448,0.012549809684497305
25,VISp,pool5,0.32360338272193834,0.01441021224251791
26,VISp,relu3,0.3149493417917577,0.013868142336699776
27,VISp,relu4,0.31834537631152704,0.01225840050047286
28,VISpm,fc6_relu,0.3405728811837061,0.013481893275994033
29,VISpm,fc7_relu,0.3604184714925556,0.018520864666768406
30,VISpm,pool1,0.3269467359981398,0.010315538533429073
31,VISpm,pool2,0.35317703786484317,0.011777890564363772
32,VISpm,pool5,0.3749181189662505,0.010682561056752086
33,VISpm,relu3,0.35432578832981254,0.011894191027803534
34,VISpm,relu4,0.34519772610600225,0.010334971474528942
35,VISrl,fc6_relu,0.3755822971023698,0.04040376702523986
36,VISrl,fc7_relu,0.3587291211785556,0.041516921958198144
37,VISrl,pool1,0.3906536539605424,0.04454587300873788
38,VISrl,pool2,0.3914327448239821,0.044354940153764885
39,VISrl,pool5,0.3701822414232685,0.04040740456957622
40,VISrl,relu3,0.3789636045185468,0.04460065409936239
41,VISrl,relu4,0.3802271560998265,0.04228574796491136
