,layer,area,specimen_id,score
0,pool1,VISal,735109609,0.33882251043366574
1,pool1,VISal,738651054,0.3144313916690809
2,pool1,VISal,739783171,0.3216676807010843
3,pool1,VISal,742714475,0.3149258479514248
4,pool1,VISal,757329624,0.31478183947127525
5,pool1,VISal,775876828,0.17156331408920086
6,pool1,VISam,730756780,0.3808211467010021
7,pool1,VISam,734865738,0.29514506792397455
8,pool1,VISam,738651054,0.27881651421531817
9,pool1,VISam,739783171,0.2775927753837112
10,pool1,VISam,742602892,0.3225538139091719
11,pool1,VISam,744915204,0.2349720712614421
12,pool1,VISam,775876828,0.24226916094514978
13,pool1,VISl,716813543,0.2608722533857476
14,pool1,VISl,723627604,0.23572342866677964
15,pool1,VISl,739783171,0.272631289591412
16,pool1,VISl,745276236,0.42744383175150996
17,pool1,VISl,772616823,0.21511581447233277
18,pool1,VISl,775876828,0.2274276467061262
19,pool1,VISp,717038288,0.22797842444697086
20,pool1,VISp,719828690,0.2151429679769962
21,pool1,VISp,730756780,0.2902045487737528
22,pool1,VISp,738651054,0.2113129049913942
23,pool1,VISp,739783171,0.26815921381185437
24,pool1,VISp,742602892,0.2912238996109045
25,pool1,VISp,744915204,0.23378961797877473
26,pool1,VISp,772616823,0.2534939493874314
27,pool1,VISpm,726170935,0.26105428730122826
28,pool1,VISpm,734865738,0.34412429373135117
29,pool1,VISpm,738651054,0.26176515751786883
30,pool1,VISpm,739783171,0.30220601191044083
31,pool1,VISpm,742714475,0.3187352709640078
32,pool1,VISrl,716813543,0.33384975614361845
33,pool1,VISrl,723627604,0.3807701754586657
34,pool1,VISrl,732548380,0.27125361955396426
35,pool1,VISrl,738651054,0.48591917521713446
36,pool1,VISrl,742602892,0.47573563453309714
37,pool1,VISrl,742714475,0.4487675467260732
38,pool1,VISrl,744915204,0.15097574794033392
39,pool2,VISal,735109609,0.36145139098147416
40,pool2,VISal,738651054,0.32351849650808473
41,pool2,VISal,739783171,0.36349502005735795
42,pool2,VISal,742714475,0.3465154997025619
43,pool2,VISal,757329624,0.35238698468897
44,pool2,VISal,775876828,0.25337093483369955
45,pool2,VISam,730756780,0.40966119579390603
46,pool2,VISam,734865738,0.31156864070633705
47,pool2,VISam,738651054,0.30419835828666386
48,pool2,VISam,739783171,0.34560625382452714
49,pool2,VISam,742602892,0.3903414384028181
50,pool2,VISam,744915204,0.2691098055147594
51,pool2,VISam,775876828,0.2816487714159981
52,pool2,VISl,716813543,0.30234416391547436
53,pool2,VISl,723627604,0.24468149920293697
54,pool2,VISl,739783171,0.2847538649162336
55,pool2,VISl,745276236,0.45656291610838173
56,pool2,VISl,772616823,0.2750124100307873
57,pool2,VISl,775876828,0.2853381756473301
58,pool2,VISp,717038288,0.26443265135076227
59,pool2,VISp,719828690,0.28772861315237025
60,pool2,VISp,730756780,0.32721002845843256
61,pool2,VISp,738651054,0.24287931470991295
62,pool2,VISp,739783171,0.34197273334901906
63,pool2,VISp,742602892,0.3450360717444376
64,pool2,VISp,744915204,0.31029931215636586
65,pool2,VISp,772616823,0.30387602354369825
66,pool2,VISpm,726170935,0.2859217636154909
67,pool2,VISpm,734865738,0.35205551066651986
68,pool2,VISpm,738651054,0.3379930787062351
69,pool2,VISpm,739783171,0.33449226622827377
70,pool2,VISpm,742714475,0.3717531309814198
71,pool2,VISrl,716813543,0.3511264450463067
72,pool2,VISrl,723627604,0.3981648041159299
73,pool2,VISrl,732548380,0.33606570807477826
