,layer,area,specimen_id,score
0,pool1,VISal,735109609,0.33930910214805166
1,pool1,VISal,738651054,0.31561950721526066
2,pool1,VISal,739783171,0.3134351879964691
3,pool1,VISal,742714475,0.3199492366511945
4,pool1,VISal,757329624,0.31685497228774456
5,pool1,VISal,775876828,0.18318482203550943
6,pool1,VISam,730756780,0.3664850756257516
7,pool1,VISam,734865738,0.29309565937175625
8,pool1,VISam,738651054,0.27199718247090177
9,pool1,VISam,739783171,0.2782753582157524
10,pool1,VISam,742602892,0.3163771531311751
11,pool1,VISam,744915204,0.22692306914120516
12,pool1,VISam,775876828,0.2396238442065476
13,pool1,VISl,716813543,0.26303997053592965
14,pool1,VISl,723627604,0.22731676674236656
15,pool1,VISl,739783171,0.26364407001103496
16,pool1,VISl,745276236,0.4185042945945996
17,pool1,VISl,772616823,0.21446712601627782
18,pool1,VISl,775876828,0.22224935286282327
19,pool1,VISp,717038288,0.23809930866937845
20,pool1,VISp,719828690,0.21184239292725027
21,pool1,VISp,730756780,0.2803069745882998
22,pool1,VISp,738651054,0.20763516104356333
23,pool1,VISp,739783171,0.2622795328845716
24,pool1,VISp,742602892,0.29335137305710485
25,pool1,VISp,744915204,0.23715307722418685
26,pool1,VISp,772616823,0.25775165982103143
27,pool1,VISpm,726170935,0.2662888904316919
28,pool1,VISpm,734865738,0.327195238136528
29,pool1,VISpm,738651054,0.27194703106660395
30,pool1,VISpm,739783171,0.306875988001796
31,pool1,VISpm,742714475,0.3209966678527844
32,pool1,VISrl,716813543,0.3254307630071007
33,pool1,VISrl,723627604,0.3902991447559132
34,pool1,VISrl,732548380,0.2645202971127933
35,pool1,VISrl,738651054,0.48957258785604063
36,pool1,VISrl,742602892,0.46503521851090923
37,pool1,VISrl,742714475,0.4466021889683133
38,pool1,VISrl,744915204,0.15786276902440227
39,pool2,VISal,735109609,0.3559965542576008
40,pool2,VISal,738651054,0.32716934893201927
41,pool2,VISal,739783171,0.3395213801240091
42,pool2,VISal,742714475,0.343498281579969
43,pool2,VISal,757329624,0.3484548014312925
44,pool2,VISal,775876828,0.23930384764131665
45,pool2,VISam,730756780,0.4055685770440834
46,pool2,VISam,734865738,0.2977757515591902
47,pool2,VISam,738651054,0.29614613186463545
48,pool2,VISam,739783171,0.3369399112445041
49,pool2,VISam,742602892,0.3709196732261516
50,pool2,VISam,744915204,0.2543417477711115
51,pool2,VISam,775876828,0.25860949854633725
52,pool2,VISl,716813543,0.28482480143993016
53,pool2,VISl,723627604,0.26512078781097054
54,pool2,VISl,739783171,0.2822009106935469
55,pool2,VISl,745276236,0.45071406019877747
56,pool2,VISl,772616823,0.266503730582355
57,pool2,VISl,775876828,0.28690145636485986
58,pool2,VISp,717038288,0.2739062366040028
59,pool2,VISp,719828690,0.2921926481705832
60,pool2,VISp,730756780,0.30989237071707865
61,pool2,VISp,738651054,0.25007548134176344
62,pool2,VISp,739783171,0.341720400799572
63,pool2,VISp,742602892,0.3527719072353257
64,pool2,VISp,744915204,0.3060426681436991
65,pool2,VISp,772616823,0.3126423858633848
66,pool2,VISpm,726170935,0.2982716742446416
67,pool2,VISpm,734865738,0.34871053494274545
68,pool2,VISpm,738651054,0.3184097840997627
69,pool2,VISpm,739783171,0.34632655638614623
70,pool2,VISpm,742714475,0.3771098417085874
71,pool2,VISrl,716813543,0.34373460794275357
72,pool2,VISrl,723627604,0.39198589567296804
73,pool2,VISrl,732548380,0.34561781895103394
74,pool2,VISrl,738651054,0.45212841135278004
