,layer,area,specimen_id,score
0,pool1,VISal,735109609,0.33755812084225895
1,pool1,VISal,738651054,0.300193652908199
2,pool1,VISal,739783171,0.32823411168140765
3,pool1,VISal,742714475,0.30727876280486605
4,pool1,VISal,757329624,0.33447861500557285
5,pool1,VISal,775876828,0.2266552012990349
6,pool1,VISam,730756780,0.3752443536339477
7,pool1,VISam,734865738,0.2852679066736445
8,pool1,VISam,738651054,0.28742419064011154
9,pool1,VISam,739783171,0.3178281788021356
10,pool1,VISam,742602892,0.3631162606601075
11,pool1,VISam,744915204,0.19384174122360842
12,pool1,VISam,775876828,0.23304751617465008
13,pool1,VISl,716813543,0.2538102394978857
14,pool1,VISl,723627604,0.20743587867818675
15,pool1,VISl,739783171,0.2752210821948126
16,pool1,VISl,745276236,0.43803224715719863
17,pool1,VISl,772616823,0.19840363831473948
18,pool1,VISl,775876828,0.22294803082638381
19,pool1,VISp,717038288,0.2167600529492527
20,pool1,VISp,719828690,0.22223566179805204
21,pool1,VISp,730756780,0.258201887876483
22,pool1,VISp,738651054,0.19300038803344483
23,pool1,VISp,739783171,0.2842428218496884
24,pool1,VISp,742602892,0.29950307927008657
25,pool1,VISp,744915204,0.2442202685504071
26,pool1,VISp,772616823,0.21845598119744297
27,pool1,VISpm,726170935,0.2929965813153792
28,pool1,VISpm,734865738,0.3479334167944498
29,pool1,VISpm,738651054,0.2924160092846799
30,pool1,VISpm,739783171,0.3480257839622739
31,pool1,VISpm,742714475,0.34207018193226946
32,pool1,VISrl,716813543,0.3629831508750915
33,pool1,VISrl,723627604,0.3612448674649949
34,pool1,VISrl,732548380,0.2541877326600059
35,pool1,VISrl,738651054,0.5017447070716095
36,pool1,VISrl,742602892,0.47591511495208
37,pool1,VISrl,742714475,0.43897738666665503
38,pool1,VISrl,744915204,0.17365543475574913
39,pool2,VISal,735109609,0.3545804144856505
40,pool2,VISal,738651054,0.3371840176446467
41,pool2,VISal,739783171,0.38257302451163355
42,pool2,VISal,742714475,0.3441713530170102
43,pool2,VISal,757329624,0.3635555159680621
44,pool2,VISal,775876828,0.25240758904221605
45,pool2,VISam,730756780,0.4075655092115314
46,pool2,VISam,734865738,0.31977166764571974
47,pool2,VISam,738651054,0.31061296347188466
48,pool2,VISam,739783171,0.3590718125527393
49,pool2,VISam,742602892,0.38222283796745793
